date,neg,neu,pos,compound
2011-12-26,0.1316,0.7986,0.06989999999999999,-0.22393000000000002
2011-12-27,0.09280000000000001,0.8173,0.0901,0.06700999999999999
2011-12-28,0.10550000000000001,0.8434000000000001,0.0509,-0.19519000000000003
2011-12-29,0.15089999999999998,0.8358000000000001,0.0132,-0.23619000000000004
2011-12-30,0.10469999999999999,0.8389,0.056400000000000006,-0.1352
2011-12-31,0.1224,0.7984,0.07930000000000001,-0.05395000000000002
2012-01-01,0.1673,0.7635,0.0693,-0.22919
2012-01-02,0.19939999999999997,0.7565999999999999,0.044,-0.41134000000000004
2012-01-03,0.1593,0.8201,0.0206,-0.33804999999999996
2012-01-04,0.1741,0.8038000000000001,0.0221,-0.24281000000000003
2012-01-05,0.2186,0.7276000000000001,0.05369999999999999,-0.38887000000000005
2012-01-06,0.1343,0.8206,0.045,-0.23281000000000002
2012-01-07,0.1825,0.7515000000000001,0.06609999999999999,-0.19484999999999997
2012-01-08,0.1756,0.7762,0.048,-0.28807
2012-01-09,0.1853,0.7026,0.1121,-0.15282
2012-01-10,0.18670000000000003,0.7517,0.0616,-0.38912
2012-01-11,0.04340000000000001,0.8943000000000001,0.0623,0.027020000000000006
2012-01-12,0.13279999999999997,0.8032,0.064,-0.14211000000000001
2012-01-13,0.10069999999999998,0.8331,0.0663,-0.07777999999999999
2012-01-14,0.11379999999999998,0.7417,0.14450000000000002,-0.045489999999999996
2012-01-15,0.16509999999999997,0.7003,0.13479999999999998,-0.09491000000000002
2012-01-16,0.1525,0.7897,0.05789999999999999,-0.20628000000000002
2012-01-17,0.1257,0.8187,0.055799999999999995,-0.12339
2012-01-18,0.11969999999999999,0.7934000000000001,0.0869,-0.05639999999999999
2012-01-19,0.22230000000000003,0.7506,0.027100000000000003,-0.28812000000000004
2012-01-20,0.17420000000000002,0.7352000000000001,0.0905,-0.19602000000000003
2012-01-21,0.1203,0.8382,0.041499999999999995,-0.32833999999999997
2012-01-22,0.1598,0.7722999999999999,0.068,-0.12252999999999999
2012-01-23,0.1824,0.7649999999999999,0.052700000000000004,-0.24584
2012-01-24,0.15450000000000003,0.7729,0.0726,-0.28031999999999996
2012-01-25,0.06539999999999999,0.8201,0.1145,0.03771
2012-01-26,0.0806,0.8638999999999999,0.055400000000000005,-0.12584999999999996
2012-01-27,0.0839,0.8215,0.0946,0.01315
2012-01-28,0.0324,0.9023,0.0653,-0.04018
2012-01-29,0.1002,0.8952,0.0046,-0.21791999999999997
2012-01-30,0.12719999999999998,0.8560000000000001,0.016900000000000002,-0.35642
2012-01-31,0.10650000000000001,0.8447000000000001,0.048799999999999996,-0.12327999999999999
2012-02-01,0.18730000000000002,0.7834,0.0293,-0.41145999999999994
2012-02-02,0.1521,0.7453,0.1026,-0.27703
2012-02-03,0.09290000000000001,0.7699,0.1372,0.06708999999999997
2012-02-04,0.1246,0.7949999999999999,0.08049999999999999,-0.06155999999999999
2012-02-05,0.3034,0.6572000000000001,0.0395,-0.5529499999999999
2012-02-06,0.0514,0.8304,0.1182,0.16887999999999997
2012-02-07,0.1889,0.7835,0.027600000000000003,-0.34965999999999997
2012-02-08,0.0506,0.9127000000000001,0.0366,-0.013680000000000003
2012-02-09,0.18309999999999998,0.7787000000000001,0.0381,-0.33715
2012-02-10,0.10979999999999998,0.8625,0.027700000000000002,-0.19873999999999997
2012-02-11,0.12730000000000002,0.8033999999999999,0.06939999999999999,-0.17263999999999996
2012-02-12,0.1508,0.7872,0.062,-0.11213
2012-02-13,0.1217,0.8075000000000001,0.0708,-0.05723000000000002
2012-02-14,0.21539999999999998,0.7523000000000001,0.0323,-0.42352999999999996
2012-02-15,0.0889,0.8638,0.0473,-0.17385
2012-02-16,0.1089,0.884,0.0070999999999999995,-0.25328
2012-02-17,0.1661,0.7752,0.058699999999999995,-0.17640000000000003
2012-02-18,0.1117,0.8375999999999999,0.0506,-0.17173
2012-02-19,0.1647,0.787,0.048299999999999996,-0.26616
2012-02-20,0.11099999999999999,0.8185,0.07039999999999999,-0.030930000000000003
2012-02-21,0.1442,0.7994000000000001,0.056299999999999996,-0.26188
2012-02-22,0.1611,0.784,0.054900000000000004,-0.14292
2012-02-23,0.2051,0.7559999999999999,0.03899999999999999,-0.45002
2012-02-24,0.187,0.7792999999999999,0.0336,-0.21518999999999994
2012-02-25,0.1335,0.8059,0.0607,-0.24925999999999998
2012-02-26,0.1572,0.8126000000000001,0.0301,-0.30238
2012-02-27,0.10130000000000002,0.8058,0.09290000000000001,-0.07739
2012-02-28,0.1537,0.7288000000000001,0.11750000000000001,-0.02298999999999999
2012-02-29,0.10350000000000001,0.8065,0.0901,-0.10688999999999997
2012-03-01,0.1234,0.8001999999999999,0.0764,-0.21877
2012-03-02,0.1984,0.7906,0.011,-0.44277999999999995
2012-03-03,0.1346,0.8395999999999999,0.0258,-0.16384
2012-03-04,0.0836,0.7937000000000001,0.12269999999999999,0.04395
2012-03-05,0.06960000000000001,0.8737999999999999,0.05669999999999999,-0.07107000000000001
2012-03-06,0.21480000000000002,0.742,0.0431,-0.31424
2012-03-07,0.1309,0.8084,0.0607,-0.24576000000000003
2012-03-08,0.0913,0.7904000000000001,0.11829999999999999,0.007080000000000003
2012-03-09,0.22490000000000002,0.7577,0.0174,-0.39544
2012-03-10,0.1313,0.8337,0.034999999999999996,-0.25826
2012-03-11,0.17140000000000002,0.7644,0.0641,-0.21412
2012-03-12,0.1265,0.8372999999999999,0.036300000000000006,-0.11855
2012-03-13,0.26620000000000005,0.6754,0.058399999999999994,-0.38838
